symbol,name,cap,sector
RELIANCE,Reliance Industries,large,energy
TCS,Tata Consultancy Services,large,it
INFY,Infosys,large,it
HDFCBANK,HDFC Bank,large,bank
ICICIBANK,ICICI Bank,large,bank
HINDUNILVR,Hindustan Unilever,large,fmcg
ITC,ITC,large,fmcg
SBIN,State Bank of India,large,bank
BHARTIARTL,Bharti Airtel,large,telecom
KOTAKBANK,Kotak Mahindra Bank,large,bank
LT,Larsen & Toubro,large,infra
AXISBANK,Axis Bank,large,bank
ASIANPAINT,Asian Paints,large,fmcg
MARUTI,Maruti Suzuki,large,auto
TITAN,Titan Company,large,fmcg
SUNPHARMA,Sun Pharmaceutical,large,pharma
BAJFINANCE,Bajaj Finance,large,finance
WIPRO,Wipro,large,it
HCLTECH,HCL Technologies,large,it
ULTRACEMCO,UltraTech Cement,large,infra
NESTLEIND,Nestle India,large,fmcg
POWERGRID,Power Grid,large,energy
NTPC,NTPC,large,energy
TATAMOTORS,Tata Motors,large,auto
M&M,Mahindra & Mahindra,large,auto
ADANIENT,Adani Enterprises,large,energy
ADANIPORTS,Adani Ports,large,infra
JSWSTEEL,JSW Steel,large,metal
TATASTEEL,Tata Steel,large,metal
COALINDIA,Coal India,large,energy
ONGC,Oil & Natural Gas,large,energy
DIVISLAB,Divi's Laboratories,large,pharma
DRREDDY,Dr Reddy's Laboratories,large,pharma
CIPLA,Cipla,large,pharma
APOLLOHOSP,Apollo Hospitals,large,healthcare
EICHERMOT,Eicher Motors,large,auto
HEROMOTOCO,Hero MotoCorp,large,auto
BAJAJFINSV,Bajaj Finserv,large,finance
INDUSINDBK,IndusInd Bank,mid,bank
PIDILITIND,Pidilite Industries,mid,fmcg
DABUR,Dabur India,mid,fmcg
GODREJCP,Godrej Consumer,mid,fmcg
BERGEPAINT,Berger Paints,mid,fmcg
HAVELLS,Havells India,mid,fmcg
TORNTPHARM,Torrent Pharmaceuticals,mid,pharma
LUPIN,Lupin,mid,pharma
BIOCON,Biocon,mid,pharma
AUROPHARMA,Aurobindo Pharma,mid,pharma
PERSISTENT,Persistent Systems,mid,it
COFORGE,Coforge,mid,it
MPHASIS,Mphasis,mid,it
LTIM,LTIMindtree,large,it
TECHM,Tech Mahindra,large,it
VEDL,Vedanta,large,metal
HINDALCO,Hindalco Industries,large,metal
GRASIM,Grasim Industries,large,infra
SBILIFE,SBI Life Insurance,large,finance
HDFCLIFE,HDFC Life Insurance,large,finance
ICICIPRULI,ICICI Prudential Life,large,finance
BRITANNIA,Britannia Industries,large,fmcg
TATACONSUM,Tata Consumer,large,fmcg
MARICO,Marico,mid,fmcg
COLPAL,Colgate Palmolive,mid,fmcg
DMART,Avenue Supermarts,mid,fmcg
ZOMATO,Zomato,mid,it
PAYTM,One 97 Communications,small,it
IRCTC,Indian Railway Catering,small,infra
